id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId,imageId
202711,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),202711,Bojan Bogdanovic,bojan-bogdanovic,6-7,226,44,F,1610612762,nba/players/202711
101141,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),101141,Ersan Ilyasova,ersan-ilyasova,6-9,235,77,F,1610612762,nba/players/101141
201566,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:23 GMT-0400 (Eastern Daylight Time),201566,Russell Westbrook,russell-westbrook,6-3,200,4,G,1610612764,nba/players/201566
201577,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:23 GMT-0400 (Eastern Daylight Time),201577,Robin Lopez,robin-lopez,7-0,281,15,C,1610612764,nba/players/201577
201568,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),201568,Danilo Gallinari,danilo-gallinari,6-10,233,8,F,1610612737,nba/players/201568
1629027,Sat Oct 09 2021 05:58:56 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1629027,Trae Young,trae-young,6-1,180,11,G,1610612737,nba/players/1629027
1629631,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1629631,De'Andre Hunter,deandre-hunter,6-8,225,12,F-G,1610612737,nba/players/1629631
1630193,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1630193,Immanuel Quickley,immanuel-quickley,6-3,190,5,G,1610612752,nba/players/1630193
1628983,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1628983,Shai Gilgeous-Alexander,shai-gilgeous-alexander,6-6,180,2,G-F,1610612760,nba/players/1628983
203487,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),203487,Michael Carter-Williams,michael-carter-williams,6-5,190,7,G,1610612753,nba/players/203487
203081,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),203081,Damian Lillard,damian-lillard,6-2,195,0,G,1610612757,nba/players/203081
