id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
202898,Mon Aug 09 2021 04:51:28 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:08 GMT-0600 (Mountain Daylight Time),202898,Jeff Hornacek,Assistant Coach,2,1610612745,nba/coaches/202898
2205,Mon Aug 09 2021 04:50:12 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:14 GMT-0600 (Mountain Daylight Time),2205,DeSagana Diop,Assistant Coach,2,1610612745,nba/coaches/2205
202431,Mon Aug 09 2021 04:52:06 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:15 GMT-0600 (Mountain Daylight Time),202431,Jason Biles,Trainer,3,1610612745,nba/coaches/202431
1320,Mon Aug 09 2021 04:52:15 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:35 GMT-0600 (Mountain Daylight Time),1320,Rick Carlisle,Head Coach,1,1610612754,nba/coaches/1320
202603,Mon Aug 09 2021 04:51:58 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:36 GMT-0600 (Mountain Daylight Time),202603,Lloyd Pierce,Lead Assistant Coach,13,1610612754,nba/coaches/202603
100616,Mon Aug 09 2021 04:52:00 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:42 GMT-0600 (Mountain Daylight Time),100616,Jenny Boucek,Assistant Coach,2,1610612754,nba/coaches/100616
202978,Mon Aug 09 2021 04:51:36 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:07 GMT-0600 (Mountain Daylight Time),202978,Tyronn Lue,Head Coach,1,1610612746,nba/coaches/202978
1628472,Mon Aug 09 2021 04:52:17 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:34 GMT-0600 (Mountain Daylight Time),1628472,Miles Simon,Assistant Coach,2,1610612747,nba/coaches/1628472
1629748,Mon Aug 09 2021 04:51:57 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:36 GMT-0600 (Mountain Daylight Time),1629748,Quinton Crawford,Assistant Coach,2,1610612747,nba/coaches/1629748
201336,Mon Aug 09 2021 04:51:25 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:05 GMT-0600 (Mountain Daylight Time),201336,Blake Ahearn,Assistant Coach,2,1610612763,nba/coaches/201336
2406,Mon Aug 09 2021 04:51:47 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:28 GMT-0600 (Mountain Daylight Time),2406,Caron Butler,Assistant Coach,2,1610612748,nba/coaches/2406
